"Location Code","TLO","Product Code","Product Sub Code","Form Code","Container Code","Customer Number","Number of Bags","MT(000)","Invoice Amount","Invoice Date","TLO Date","Shipment Code","Shipment Name","Status"
"Location Code","TLO ","Product Code","Product Sub Code","Form Code","Container Code","Customer Number","Number of Bags","MT( '000)","Invoice Amount","Invoice Date ","TLO Date","Shipment Code ","Shipment Name ","FAILED"
"15","48","113801","  ","PL","50KG","214109051","400","20000","472000","1161130","1161129","0","CHOUDHARY TARDING CO.                        ","FAILED"
"15","239","3301","  ","CR","50KG","214109051","50","2500","67750","1161217","1161213","0","CHOUDHARY TARDING CO.                        ","SUCCESS"
"15","239","113801","  ","PL","50KG","214109051","350","17500","420000","1161217","1161213","0","CHOUDHARY TARDING CO.                        ","FAILED"
"15","240","3301","  ","CR","50KG","214109051","5","250","6775","1161215","1161213","0","CHOUDHARY TARDING CO.                        ","SUCCESS"
"15","240","113801","  ","PL","50KG","214109051","280","14000","336000","1161215","1161213","0","CHOUDHARY TARDING CO.                        ","FAILED"
"15","241","113801","  ","PL","50KG","214109051","112","5600","134400","1161215","1161213","0","CHOUDHARY TARDING CO.                        ","FAILED"
"15","712","113801","  ","PL","50KG","214109051","200","10000","240000","1170109","1161231","0","CHOUDHARY TARDING CO.                        ","FAILED"
"15","713","113801","  ","PL","50KG","214109051","200","10000","240000","1170109","1161231","0","CHOUDHARY TARDING CO.                        ","FAILED"
"15","807","3301","  ","CR","50KG","214109051","100","5000","135500","1170112","1170106","0","CHOUDHARY TARDING CO.                        ","SUCCESS"
"15","807","113102","  ","PL","25KG","214109051","4","100","3240","1170112","1170106","0","CHOUDHARY TARDING CO.                        ","SUCCESS"
"15","807","113801","  ","PL","50KG","214109051","198","9900","237600","1170112","1170106","0","CHOUDHARY TARDING CO.                        ","FAILED"
"15","893","113801","  ","PL","50KG","214109051","100","5000","118000","1170118","1170110","4","MOYAL DAIRY FARM, SHOBHASER, BIKANER,        ","FAILED"
"15","1069","3301","  ","CR","50KG","214109051","140","7000","186900","1170118","1170116","0","CHOUDHARY TARDING CO.                        ","SUCCESS"
"15","1069","113102","  ","PL","25KG","214109051","4","100","3200","1170118","1170116","0","CHOUDHARY TARDING CO.                        ","SUCCESS"
"15","1069","113201","  ","PL","50KG","214109051","5","250","5125","1170118","1170116","0","CHOUDHARY TARDING CO.                        ","SUCCESS"
"15","1069","113801","  ","PL","50KG","214109051","153","7650","180540","1170118","1170116","0","CHOUDHARY TARDING CO.                        ","FAILED"
"15","1207","113102","  ","PL","25KG","214109051","4","100","3240","1170125","1170120","0","CHOUDHARY TARDING CO.                        ","SUCCESS"
"15","1207","113201","  ","PL","50KG","214109051","4","200","4180","1170125","1170120","0","CHOUDHARY TARDING CO.                        ","SUCCESS"
"15","1207","113701","  ","PL","50KG","214109051","4","200","4660","1170125","1170120","0","CHOUDHARY TARDING CO.                        ","SUCCESS"
"15","1207","113801","  ","PL","50KG","214109051","390","19500","468000","1170125","1170120","0","CHOUDHARY TARDING CO.                        ","FAILED"
"15","1497","3301","  ","CR","50KG","214109051","80","4000","108400","1170130","1170128","0","CHOUDHARY TARDING CO.                        ","SUCCESS"
"15","1497","113801","  ","PL","50KG","214109051","320","16000","384000","1170130","1170128","0","CHOUDHARY TARDING CO.                        ","FAILED"
"15","1642","3301","  ","CR","50KG","214109051","20","1000","27100","1170203","1170131","0","CHOUDHARY TARDING CO.                        ","SUCCESS"
"15","1642","113102","  ","PL","25KG","214109051","6","150","4860","1170203","1170131","0","CHOUDHARY TARDING CO.                        ","SUCCESS"
"15","1642","113201","  ","PL","50KG","214109051","5","250","5225","1170203","1170131","0","CHOUDHARY TARDING CO.                        ","SUCCESS"
"15","1642","113701","  ","PL","50KG","214109051","2","100","2330","1170203","1170131","0","CHOUDHARY TARDING CO.                        ","SUCCESS"
"15","1642","113801","  ","PL","50KG","214109051","270","13500","324000","1170203","1170131","0","CHOUDHARY TARDING CO.                        ","FAILED"
"15","1743","113801","  ","PL","50KG","214109051","300","15000","360000","1170209","1170206","0","CHOUDHARY TARDING CO.                        ","FAILED"
"15","1744","113801","  ","PL","50KG","214109051","100","5000","120000","1170209","1170206","0","CHOUDHARY TARDING CO.                        ","FAILED"
"15","1956","3301","  ","CR","50KG","214109051","100","5000","135500","1170216","1170213","0","CHOUDHARY TARDING CO.                        ","SUCCESS"
"15","1956","3401","  ","CR","50KG","214109051","5","250","7775","1170216","1170213","0","CHOUDHARY TARDING CO.                        ","SUCCESS"
"15","1956","113001","  ","PL","50KG","214109051","5","250","5625","1170216","1170213","0","CHOUDHARY TARDING CO.                        ","SUCCESS"
"15","1956","113801","  ","PL","50KG","214109051","190","9500","228000","1170216","1170213","0","CHOUDHARY TARDING CO.                        ","FAILED"
"15","1957","113801","  ","PL","50KG","214109051","100","5000","120000","1170216","1170213","0","CHOUDHARY TARDING CO.                        ","FAILED"
"15","2125","3301","  ","CR","50KG","214109051","50","2500","66750","1170220","1170217","0","CHOUDHARY TARDING CO.                        ","SUCCESS"
"15","2125","3401","  ","CR","50KG","214109051","3","150","4605","1170220","1170217","0","CHOUDHARY TARDING CO.                        ","SUCCESS"
"15","2125","113001","  ","PL","50KG","214109051","2","100","2210","1170220","1170217","0","CHOUDHARY TARDING CO.                        ","SUCCESS"
"15","2125","113102","  ","PL","25KG","214109051","4","100","3200","1170220","1170217","0","CHOUDHARY TARDING CO.                        ","SUCCESS"
"15","2125","113701","  ","PL","50KG","214109051","3","150","3435","1170220","1170217","0","CHOUDHARY TARDING CO.                        ","SUCCESS"
"15","2125","113801","  ","PL","50KG","214109051","340","17000","401200","1170220","1170217","0","CHOUDHARY TARDING CO.                        ","FAILED"
